sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:5396106	Cassytha ciliolata	RO:0002444	parasite of	EOL:628694	Cliffortia cuneata	GEONAMES:953987	South Africa					http://parasiticplants.siu.edu/index.html
EOL:596901	Cassytha filiformis	RO:0002444	parasite of	EOL:61858	Exocarpos	GEONAMES:2175229	Blue Mountains, New South Wales, Australia					http://parasiticplants.siu.edu/index.html
EOL:596901	Cassytha filiformis	RO:0002444	parasite of	EOL:49100	Scaevola	GEONAMES:2094341	Lissenung Island near Kavieng, New Ireland, Papua New Guinea					http://parasiticplants.siu.edu/index.html
EOL:5514361	Hydnora africana	RO:0002444	parasite of	EOL:1144433	Euphorbia mauritanica	GEONAMES:953987	near Worcester, South Africa					http://parasiticplants.siu.edu/index.html
EOL:6360761	Misodendrum angulatum	RO:0002444	parasite of	EOL:1153916	Nothofagus dombeyii	GEONAMES:3864759	near Llao Llao hotel, Bariloche, Argentina					http://parasiticplants.siu.edu/index.html
EOL:6360783	Misodendrum gayanum	RO:0002444	parasite of	EOL:1153923	Nothofagus betuloides	GEONAMES:3895114	Chile					http://parasiticplants.siu.edu/index.html
EOL:6360783	Misodendrum gayanum	RO:0002444	parasite of	EOL:1153916	Nothofagus dombeyii	GEONAMES:3895114	Chile					http://parasiticplants.siu.edu/index.html
EOL:6360765	Misodendrum linearifolium	RO:0002444	parasite of	EOL:1153916	Nothofagus dombeyii							http://parasiticplants.siu.edu/index.html
EOL:6360765	Misodendrum linearifolium	RO:0002444	parasite of	EOL:1153900	Nothofagus pumilio	GEONAMES:3865483	Argentina					http://parasiticplants.siu.edu/index.html
EOL:6360772	Misodendrum oblongifolium	RO:0002444	parasite of	EOL:1153927	Nothofagus antarctica	GEONAMES:3895114	Andean foothills east of Chillan, Chile					http://parasiticplants.siu.edu/index.html
